main_lang,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1
C,167.21545319465082,162.21814848762602,123.05399325084365,120.04770318021201,109.690625,106.3924882629108,68.48588235294118,68.71007751937985,54.726451612903226,48.215463917525774,28.610513739545997,17.724260355029585,4.0
C#,264.4037558685446,184.6189111747851,172.0050505050505,139.9251700680272,137.89243027888446,137.3673469387755,87.24725274725274,103.17241379310344,68.37579617834395,68.39449541284404,39.05780346820809,33.77880184331797,4.958677685950414
C++,336.8898568761668,290.27302940538976,254.36229131260623,230.66232737151913,214.44395826321104,182.1730475899939,160.7000396667989,140.21434942027548,117.22892317282219,87.00553359683795,57.23741705777634,28.453723217421846,6.843669985775249
Go,241.6991869918699,193.126582278481,192.95959595959596,228.06153846153848,180.8859649122807,146.29896907216494,101.94,82.3409090909091,80.24096385542168,57.43518518518518,44.795918367346935,19.694117647058825,5.909090909090909
Java,239.11644657863144,161.16535433070865,153.7978947368421,148.17273954116058,149.71841155234657,113.7152073732719,87.47648261758691,77.25764192139738,65.43621399176955,53.28023255813954,32.829028290282906,21.850840336134453,4.441391941391942
JavaScript,154.05882352941177,129.61666666666667,139.4179104477612,134.51538461538462,108.93846153846154,79.89671361502347,89.63945578231292,45.83695652173913,45.01030927835052,41.07725321888412,29.741935483870968,14.894444444444444,4.6953125
PHP,142.61111111111111,116.47402597402598,95.89655172413794,59.22222222222222,106.7109375,86.05128205128206,70.61666666666666,53.31578947368421,55.48623853211009,34.8,25.370786516853933,11.256880733944953,3.712121212121212
PyPy,563.9772727272727,458.07865168539325,397.5117270788913,358.1236559139785,328.21824104234526,280.88317757009344,232.5191489361702,201.27333333333334,148.83040935672514,134.1406844106464,76.29511677282377,36.41260162601626,10.56015037593985
Python,298.8767954037664,247.56383186705767,197.3530210454854,191.83172690763053,170.52093023255813,151.41527446300717,121.92701525054466,111.04707964601769,74.19725502713055,72.27678816114003,49.65722851432378,23.515820029027577,6.314067611777536
Ruby,205.7054794520548,182.81632653061226,184.8,181.08227848101265,146.4059829059829,139.85096153846155,96.9281045751634,126.16770186335404,76.95205479452055,67.5592105263158,43.467213114754095,17.293706293706293,7.069444444444445
misc,313.421875,281.1441241685144,205.88996763754045,185.43798449612405,180.315625,186.01006711409397,125.50909090909092,109.36363636363636,78.1443661971831,64.51711026615969,46.093117408906885,28.502183406113538,7.880503144654088
