main_lang,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1
C,171.61363636363637,156.35235235235234,115.97951344430217,105.63729508196721,103.42650918635171,100.28977272727273,67.21550591327201,71.19702602230483,54.56158357771261,49.43478260869565,25.60281690140845,17.154761904761905,3.7865168539325844
C#,298.51977401129943,177.60689655172413,188.84615384615384,153.4090909090909,149.2849162011173,145.22598870056498,86.57931034482759,123.01986754966887,71.46078431372548,85.07352941176471,46.32283464566929,46.95454545454545,7.861111111111111
C++,348.8964032421479,297.25738322671106,262.25201138754795,240.5756358768407,227.36158373461745,195.44826114785576,165.278699402787,144.56165691775098,122.71996559304215,94.44443110897744,61.00443024933031,30.093839770188318,7.242923314462172
Go,226.58163265306123,192.90298507462686,193.28571428571428,220.3728813559322,175.30769230769232,151.24,102.48571428571428,71.22058823529412,76.0923076923077,60.4,52.8,24.162790697674417,11.634146341463415
Java,241.16239316239316,160.4478672985782,163.08333333333334,152.19063545150502,153.2107765451664,129.8485254691689,89.68407310704961,81.21124031007751,70.9814126394052,59.20563847429519,36.49415692821369,24.775,4.929611650485437
JavaScript,132.7863247863248,108.81142857142858,130.58620689655172,159.56962025316454,119.848,107.87603305785125,87.3157894736842,51.89090909090909,57.333333333333336,48.15,35.26923076923077,22.818181818181817,5.433734939759036
PHP,142.22222222222223,141.75213675213675,78.86274509803921,84.53061224489795,99.26315789473684,87.6043956043956,78.13698630136986,49.20634920634921,65.01449275362319,39.13157894736842,28.54237288135593,14.918367346938776,4.4
PyPy,561.4406332453826,464.1652892561983,380.40972222222223,366.0376811594203,337.7513043478261,290.1932773109244,246.5501113585746,215.73134328358208,155.93561368209257,143.57755102040815,84.93129770992367,41.04615384615385,12.024096385542169
Python,299.5137918352335,246.8386110504477,204.32179793158315,183.69476744186048,172.31013071895424,155.40266087428728,126.84529437043403,120.48657259899863,78.69563492063492,77.60439944134079,53.789451476793246,26.737016574585635,7.133574007220217
Ruby,220.17777777777778,197.75103734439833,205.52,181.00833333333333,150.37790697674419,145.51677852348993,112.23134328358209,121.74,90.25688073394495,75.33980582524272,47.595238095238095,22.980582524271846,7.088888888888889
misc,339.6872586872587,271.45205479452056,214.4422310756972,196.08837209302325,184.83082706766916,186.85470085470087,130.95594713656388,110.27232142857143,82.52093023255814,66.30569948186529,55.89473684210526,31.402116402116402,7.7899159663865545
